REQUESTQty,SHIPDays,APROVEDQty,STOCKprice,AWARDprice,INVprice,BeginINV,ENDInv
1585,8,1585,2.41,3.0512,3.7757,4836.15,5984.48
1056,0,1056,3.888,2.8089,3.6189,2966.2,3821.56
3400,0,3400,3.888,2.8089,3.772,9550.26,12824.8
3170,0,3170,3.888,2.8089,3.772,8904.21,11957.24
3170,0,3170,3.888,2.8089,3.772,8904.21,11957.24
2642,0,2642,3.86,2.4191,3.484,6391.26,9204.73
9510,0,9510,3.86,2.4191,3.484,23005.64,33132.84
2113,0,2113,3.86,2.4191,3.484,5111.56,7361.69
10606,3,10606,4.07,2.2112,3.2055,23451.99,33997.53
4755,0,4755,3.86,2.4191,3.4484,11502.82,16397.14
4755,0,4755,3.888,2.8089,3.6502,13356.32,17356.7
18800,0,18800,3.888,2.1374,3.216,40183.12,60460.8
13835,7,13835,3.888,2.3955,3.2668,33141.74,45196.18
1057,1,1057,3.888,2.3411,3.2837,2474.54,3470.87
4227,3,4227,3.888,2.4835,3.4261,10497.75,14482.12
14058,6,14058,3.888,2.1374,2.989,30047.57,42019.36
14181,1,14181,3.888,2.1374,2.9787,30310.47,42240.94
4747,1,4747,3.888,2.5266,3.3679,11993.77,15987.42
1057,-40661,0,2.98,2.6917,3.9501,0,0
3683,0,3683,3.888,2.0916,3.0547,7703.36,11250.46
4755,0,4755,3.888,2.8089,3.7515,13356.32,17838.38
3043,0,3043,3.888,2.8089,3.7515,8547.48,11415.81
14064,2,14064,3.888,2.1374,3.216,30060.39,45229.82
3181,2,3181,4.07,2.1954,2.9074,6983.57,9248.44
2614,2,2614,4.07,2.3715,3.3816,6199.1,8839.5
1065,1,1065,4.07,2.3727,3.0972,2526.93,3298.52
32820,1,32820,3.888,2.1374,3.08,70149.47,101085.6
32774,3,32774,3.888,2.1374,3.2037,70051.15,104998.06
9510,0,9510,3.86,2.4191,3.5207,23005.64,33481.86
4755,0,4755,3.888,2.8089,3.772,13356.32,17935.86
10558,5,10558,4.07,2.2112,3.076,23345.85,32476.41
3679,3,3679,4.07,2.31,3.1293,8498.49,11512.69
9400,3,9400,3.888,2.1374,3.216,20091.56,30230.4
14097,2,14097,3.888,2.1374,3.216,30130.93,45335.95
18932,1,18932,3.888,2.1374,2.9787,40465.26,56392.75
21453,0,21453,2.98,2.8089,3.8227,60259.33,82008.38
9510,3,9510,3.86,2.4191,3.4484,23005.64,32794.28
4755,3,4755,3.86,2.4191,3.4484,11502.82,16397.14
3643,2,3643,4.07,2.31,3.1497,8415.33,11474.36
7397,3,7397,3.86,2.4191,3.5207,17894.08,26042.62
9510,2,9510,3.86,2.4191,3.5207,23005.64,33481.86
14169,0,14169,3.888,2.1374,2.9474,30284.82,41761.71
4755,2,4755,3.86,2.4191,3.5207,11502.82,16740.93
9500,0,9500,3.888,2.0953,3.1616,19905.35,30035.2
14094,1,14094,3.888,2.1374,2.989,30124.52,42126.97
4755,0,4755,3.888,2.8089,3.7218,13356.32,17697.16
4227,5,4227,3.888,2.4835,3.4466,10497.75,14568.78
9457,2,9457,4.07,2.1954,3.1897,20761.9,30164.99
5284,3,5284,4.07,2.31,3.0054,12206.04,15880.53
23222,2,23222,3.888,2.1374,3.2037,49634.7,74396.32
4755,0,4755,3.86,2.4191,3.5182,11502.82,16729.04
9510,0,9510,3.86,2.4191,3.5238,23005.64,33511.34
3673,2,3673,4.07,2.31,3.3043,8484.63,12136.69
1057,2,1057,3.888,2.3411,3.3042,2474.54,3492.54
4226,2,4226,3.888,2.8089,3.7515,11870.41,15853.84
3698,0,3698,3.888,2.8089,3.7515,10387.31,13873.05
3963,0,3963,3.888,2.8089,3.6802,11131.67,14584.63
23605,1,23605,3.888,2.1374,2.9474,50453.33,69573.38
